[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
  9   2  88   0   0   0|   0    92k|5179M  389M 57.0G  538M|1118k 4916k|   0  2.00 |453 247  20   0   0| 20 215   1   1 208
  8   2  89   0   0   0|   0     0 |5179M  389M 57.0G  538M|1208k 5136k|   0     0 |453 246  20   0   0| 20 214   1   1 206
  9   2  89   0   0   0|   0    56k|5179M  389M 57.0G  538M|1283k 5038k|   0  4.00 |447 242  20   0   0| 20 211   3   1 204
 13   3  84   0   0   1|   0     0 |5179M  389M 57.0G  538M|1651k 6028k|   0     0 |427 228  20   0   0| 20 193   2   1 225
 15   3  81   0   0   1|   0     0 |5179M  389M 57.0G  538M|1671k 7422k|   0     0 |424 218  20   0   0| 20 186   2   1 229
 13   3  83   0   0   1|   0    40k|5179M  389M 57.0G  538M|1673k 6191k|   0  2.00 |422 217  20   0   0| 20 184   1   1 231
 19   2  77   0   0   1|   0     0 |5179M  389M 57.0G  538M|1483k 5976k|   0     0 |429 223  20   0   0| 20 188   2   1 234
 10   3  87   0   0   1|   0    48k|5179M  389M 57.0G  538M|1562k 6636k|   0  4.00 |404 198  20   0   0| 20 165   1   1 256
 13   2  84   0   0   1|   0  4096B|5179M  389M 57.0G  537M|1347k 5770k|   0  1.00 |400 193  20   0   0| 20 162   1   1 258
 11   2  87   0   0   0|   0     0 |5180M  389M 57.0G  537M|1262k 5606k|   0     0 |399 191  20   0   0| 20 159   1   2 258
 20   4  76   0   0   1|   0   124k|5180M  389M 57.0G  537M|1384k 5718k|   0  3.00 |383 179  20   0   0| 20 145   2   2 267
 15   2  81   0   0   1|   0     0 |5180M  389M 57.0G  537M|1484k 6469k|   0     0 |374 168  20   0   0| 20 136   3   2 277
 21   4  74   0   0   1|   0     0 |5180M  389M 57.0G  537M|1168k 5370k|   0     0 |377 171  20   0   0| 20 139   7   2 275
 20   4  75   0   0   1|   0    16k|5190M  389M 57.0G  527M|1296k 4958k|   0  4.00 |383 177  20   0   0| 20 145   5   2 277
